n,t,v,q,pwm,fa
96,1.92,"[-1.69, 6.72e-17, -1.93]","[0.97, -3.99e-18, -0.244, -5.23e-17]","[1.58e+03, 1.56e+03, 1.58e+03, 1.56e+03]","[-1.06, -1.94e-16, 6.98]"
97,1.94,"[-1.6, 5.25e-17, -1.89]","[0.967, -2.91e-18, -0.254, -5.2e-17]","[1.44e+03, 1.42e+03, 1.44e+03, 1.42e+03]","[0.768, -3.05e-16, 8.81]"
98,1.96,"[-1.51, 3.8e-17, -1.85]","[0.965, -1.71e-18, -0.263, -5.18e-17]","[1.48e+03, 1.46e+03, 1.48e+03, 1.46e+03]","[0.524, -2.45e-16, 6.12]"
99,1.98,"[-1.42, 2.34e-17, -1.81]","[0.963, -6.94e-19, -0.271, -5.15e-17]","[1.58e+03, 1.57e+03, 1.58e+03, 1.57e+03]","[-0.676, -1.54e-16, 3.5]"
100,2,"[-1.32, 8.44e-18, -1.78]","[0.961, 4.7e-19, -0.278, -5.12e-17]","[1.57e+03, 1.56e+03, 1.57e+03, 1.56e+03]","[-0.365, -2.07e-16, 4.22]"
101,2.02,"[-1.22, -6.71e-18, -1.75]","[0.959, 1.82e-18, -0.284, -5.09e-17]","[1.5e+03, 1.48e+03, 1.5e+03, 1.48e+03]","[0.653, -2.56e-16, 5.07]"
102,2.04,"[-1.11, -2.16e-17, -1.71]","[0.957, 3.28e-18, -0.29, -5.05e-17]","[1.51e+03, 1.5e+03, 1.51e+03, 1.5e+03]","[0.54, -2.22e-16, 3.67]"
103,2.06,"[-1.01, -3.62e-17, -1.68]","[0.955, 4.82e-18, -0.295, -5.02e-17]","[1.56e+03, 1.56e+03, 1.56e+03, 1.56e+03]","[-0.162, -2.59e-16, 2.22]"
104,2.08,"[-0.9, -5.08e-17, -1.64]","[0.954, 6.63e-18, -0.3, -4.99e-17]","[1.56e+03, 1.55e+03, 1.56e+03, 1.55e+03]","[-0.05, -2.77e-16, 2.44]"
105,2.1,"[-0.787, -6.5e-17, -1.61]","[0.953, 8.39e-18, -0.304, -4.95e-17]","[1.52e+03, 1.52e+03, 1.52e+03, 1.52e+03]","[0.469, -2.74e-16, 2.76]"
