n,t,v,q,pwm,fa
85,1.7,"[2.02e-15, 1e-15, -2.56]","[1, 5.4e-16, -1.07e-15, 1.47e-18]","[1.46e+03, 1.46e+03, 1.46e+03, 1.46e+03]","[2.34e-13, 1.17e-13, 7.38]"
86,1.72,"[2.25e-15, 1.12e-15, -2.51]","[1, 2.47e-16, -4.86e-16, 1.52e-18]","[1.46e+03, 1.46e+03, 1.46e+03, 1.46e+03]","[2.25e-13, 1.13e-13, 7.27]"
87,1.74,"[2.31e-15, 1.15e-15, -2.46]","[1, -3.75e-17, 8.28e-17, 1.57e-18]","[1.47e+03, 1.47e+03, 1.47e+03, 1.47e+03]","[2.04e-13, 1.02e-13, 7.17]"
88,1.76,"[2.2e-15, 1.1e-15, -2.41]","[1, -2.98e-16, 6.04e-16, 1.62e-18]","[1.47e+03, 1.47e+03, 1.47e+03, 1.47e+03]","[1.74e-13, 8.71e-14, 7.07]"
89,1.78,"[1.96e-15, 9.75e-16, -2.37]","[1, -5.22e-16, 1.05e-15, 1.59e-18]","[1.47e+03, 1.47e+03, 1.47e+03, 1.47e+03]","[1.37e-13, 6.86e-14, 6.98]"
90,1.8,"[1.59e-15, 7.91e-16, -2.32]","[1, -6.99e-16, 1.4e-15, 1.56e-18]","[1.47e+03, 1.47e+03, 1.47e+03, 1.47e+03]","[9.6e-14, 4.82e-14, 6.88]"
91,1.82,"[1.12e-15, 5.6e-16, -2.27]","[1, -8.22e-16, 1.65e-15, 1.58e-18]","[1.47e+03, 1.47e+03, 1.47e+03, 1.47e+03]","[5.38e-14, 2.71e-14, 6.79]"
92,1.84,"[6e-16, 2.99e-16, -2.23]","[1, -8.88e-16, 1.78e-15, 1.58e-18]","[1.47e+03, 1.47e+03, 1.47e+03, 1.47e+03]","[1.29e-14, 6.67e-15, 6.7]"
93,1.86,"[5.15e-17, 2.55e-17, -2.19]","[1, -8.97e-16, 1.8e-15, 1.59e-18]","[1.47e+03, 1.47e+03, 1.47e+03, 1.47e+03]","[-2.46e-14, -1.21e-14, 6.61]"
94,1.88,"[-4.88e-16, -2.44e-16, -2.14]","[1, -8.53e-16, 1.71e-15, 1.58e-18]","[1.47e+03, 1.47e+03, 1.47e+03, 1.47e+03]","[-5.65e-14, -2.81e-14, 6.52]"
95,1.9,"[-9.89e-16, -4.94e-16, -2.1]","[1, -7.62e-16, 1.52e-15, 1.57e-18]","[1.47e+03, 1.47e+03, 1.47e+03, 1.47e+03]","[-8.19e-14, -4.08e-14, 6.43]"
96,1.92,"[-1.42e-15, -7.11e-16, -2.06]","[1, -6.31e-16, 1.26e-15, 1.57e-18]","[1.48e+03, 1.48e+03, 1.48e+03, 1.48e+03]","[-9.99e-14, -4.98e-14, 6.35]"
97,1.94,"[-1.77e-15, -8.84e-16, -2.02]","[1, -4.73e-16, 9.44e-16, 1.61e-18]","[1.48e+03, 1.48e+03, 1.48e+03, 1.48e+03]","[-1.1e-13, -5.48e-14, 6.26]"
98,1.96,"[-2.01e-15, -1e-15, -1.98]","[1, -2.97e-16, 5.92e-16, 1.69e-18]","[1.48e+03, 1.48e+03, 1.48e+03, 1.48e+03]","[-1.12e-13, -5.6e-14, 6.18]"
99,1.98,"[-2.14e-15, -1.07e-15, -1.94]","[1, -1.16e-16, 2.28e-16, 1.75e-18]","[1.48e+03, 1.48e+03, 1.48e+03, 1.48e+03]","[-1.08e-13, -5.38e-14, 6.1]"
100,2,"[-2.15e-15, -1.08e-15, -1.9]","[1, 5.96e-17, -1.23e-16, 1.75e-18]","[1.48e+03, 1.48e+03, 1.48e+03, 1.48e+03]","[-9.7e-14, -4.85e-14, 6.02]"
101,2.02,"[-2.06e-15, -1.03e-15, -1.87]","[1, 2.2e-16, -4.44e-16, 1.73e-18]","[1.48e+03, 1.48e+03, 1.48e+03, 1.48e+03]","[-8.16e-14, -4.09e-14, 5.95]"
102,2.04,"[-1.88e-15, -9.41e-16, -1.83]","[1, 3.56e-16, -7.15e-16, 1.7e-18]","[1.48e+03, 1.48e+03, 1.48e+03, 1.48e+03]","[-6.28e-14, -3.14e-14, 5.87]"
103,2.06,"[-1.61e-15, -8.09e-16, -1.79]","[1, 4.61e-16, -9.25e-16, 1.68e-18]","[1.48e+03, 1.48e+03, 1.48e+03, 1.48e+03]","[-4.21e-14, -2.12e-14, 5.79]"
104,2.08,"[-1.29e-15, -6.48e-16, -1.76]","[1, 5.31e-16, -1.07e-15, 1.7e-18]","[1.48e+03, 1.48e+03, 1.48e+03, 1.48e+03]","[-2.1e-14, -1.06e-14, 5.72]"
105,2.1,"[-9.32e-16, -4.7e-16, -1.72]","[1, 5.65e-16, -1.13e-15, 1.74e-18]","[1.48e+03, 1.48e+03, 1.48e+03, 1.48e+03]","[-7.35e-16, -4.89e-16, 5.65]"
106,2.12,"[-5.64e-16, -2.87e-16, -1.69]","[1, 5.62e-16, -1.13e-15, 1.83e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[1.75e-14, 8.59e-15, 5.58]"
107,2.14,"[-2.08e-16, -1.09e-16, -1.66]","[1, 5.26e-16, -1.05e-15, 1.9e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[3.27e-14, 1.62e-14, 5.51]"
108,2.16,"[1.16e-16, 5.29e-17, -1.63]","[1, 4.6e-16, -9.19e-16, 1.96e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[4.42e-14, 2.2e-14, 5.44]"
109,2.18,"[3.89e-16, 1.9e-16, -1.59]","[1, 3.71e-16, -7.41e-16, 1.96e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[5.18e-14, 2.58e-14, 5.38]"
