n,t,v,q,pwm,fa
88,1.76,"[0.00249, 0.00159, -4.69]","[0.999, 0.000258, -0.049, 0.00273]","[2e+03, 2e+03, 2e+03, 1e+03]","[-0.771, 2.36e-07, 1.2]"
89,1.78,"[0.0121, 0.0018, -4.69]","[0.999, 0.000229, -0.0495, 0.00286]","[1e+03, 2e+03, 1.5e+03, 1.5e+03]","[-0.773, 1.63e-07, 1.2]"
90,1.8,"[0.0226, 0.00199, -4.7]","[0.999, 9.63e-05, -0.0499, 0.00291]","[1.95e+03, 1.95e+03, 1e+03, 2e+03]","[-0.775, 8.87e-09, 1.21]"
91,1.82,"[0.0392, 0.00215, -4.77]","[0.999, -0.000157, -0.0503, 0.00295]","[2e+03, 2e+03, 1e+03, 2e+03]","[-0.777, -2.21e-07, 1.24]"
92,1.84,"[0.0586, 0.00219, -4.87]","[0.999, -0.000411, -0.0506, 0.00298]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.78, -1.05e-06, 1.3]"
93,1.86,"[0.0736, 0.00211, -4.92]","[0.999, -0.000557, -0.0509, 0.00297]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-0.783, -1.75e-06, 1.32]"
94,1.88,"[0.0864, 0.00199, -4.96]","[0.999, -0.000609, -0.0512, 0.00295]","[1e+03, 2e+03, 1.96e+03, 1.96e+03]","[-0.786, -1.97e-06, 1.34]"
95,1.9,"[0.104, 0.00182, -5.03]","[0.999, -0.000721, -0.0515, 0.00293]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.789, -2.63e-06, 1.38]"
96,1.92,"[0.123, 0.00154, -5.12]","[0.999, -0.000921, -0.0517, 0.00291]","[1e+03, 2e+03, 1.85e+03, 1.85e+03]","[-0.792, -4.14e-06, 1.44]"
97,1.94,"[0.143, 0.00121, -5.22]","[0.999, -0.00091, -0.0519, 0.0029]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-0.795, -3.75e-06, 1.49]"
98,1.96,"[0.155, 0.000953, -5.24]","[0.999, -0.000903, -0.0522, 0.00295]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-0.798, -3.38e-06, 1.5]"
99,1.98,"[0.164, 0.000743, -5.23]","[0.999, -0.000845, -0.0524, 0.00303]","[1.54e+03, 2e+03, 1e+03, 2e+03]","[-0.801, -2.61e-06, 1.5]"
100,2,"[0.176, 0.00053, -5.24]","[0.999, -0.000829, -0.0526, 0.00305]","[2e+03, 2e+03, 1e+03, 2e+03]","[-0.804, -2.27e-06, 1.51]"
101,2.02,"[0.192, 0.000288, -5.3]","[0.999, -0.000853, -0.0526, 0.00307]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-0.808, -2.25e-06, 1.54]"
102,2.04,"[0.204, 7.79e-05, -5.32]","[0.999, -0.000783, -0.0527, 0.00311]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.812, -1.58e-06, 1.55]"
103,2.06,"[0.22, -0.000123, -5.38]","[0.999, -0.000743, -0.0526, 0.00314]","[1.5e+03, 1.5e+03, 2e+03, 1e+03]","[-0.817, -1.21e-06, 1.59]"
104,2.08,"[0.231, -0.00028, -5.39]","[0.999, -0.000684, -0.0525, 0.00319]","[1.74e+03, 1.74e+03, 2e+03, 1e+03]","[-0.822, -7.89e-07, 1.6]"
105,2.1,"[0.245, -0.000408, -5.43]","[0.999, -0.000572, -0.0521, 0.00326]","[1.98e+03, 1.98e+03, 2e+03, 1e+03]","[-0.827, -3e-07, 1.62]"
